_id,title,slug,group,description,metaDescription,icon,synonyms
"4d61e543-9be6-43e6-b60e-dfa635845763","Smart Task Automation","smart-task-automation","","Triggers tasks automatically","Automate tasks based on logic","","Task automation"
"29cf4abf-e09e-4123-ba3f-5db4c9b810cd","Content Marketing","content-marketing","","Blogs, guides, resources","Content to attract and educate audiences","","Content strategy"
"39033fd0-7e40-4349-9627-9de7d2d8c711","Brand Messaging & Positioning","brand-messaging-positioning","","Defines brand voice and market fit","Clear brand positioning","","Brand strategy"
"2dd6179d-e837-40fc-ba2b-8cd8758c9ae3","LinkedIn Authority Building","linkedin-authority-building","","Position leaders as industry experts","Build authority on LinkedIn","","LinkedIn marketing"
"4b7e6c49-2f68-4b9b-8ac7-d75799c84b0d","Cybersecurity","cybersecurity","","Tools and practices to secure networks, applications and data","Protect systems from cyber threats","","Information security|cyber protection"
"a3c65e93-a6c5-48ec-a08a-62f85a4165ca","Single Sign-On (SSO)","single-sign-on","","Allows users to authenticate once across platforms","One login across multiple systems","","SSO|unified login"
"a6aa2c06-fcb8-4a1c-a2a6-990177b6b9d9","Penetration Testing","penetration-testing","","Simulated cyber attacks to test system security","Identify security weaknesses before attackers do","","Pen testing|security testing"
"03c20924-6cf2-4699-9a4c-554078006324","Time Tracking & Capacity Planning","time-tracking-capacity-planning","","Monitor workload and utilisation","Track time and team capacity","","Capacity planning"
"8896a880-0062-45b5-a999-407c3e3d0eac","Backup & Disaster Recovery","backup-disaster-recovery","","Automated backups and recovery strategies for outages or data loss","Protect data with backups and recovery plans","","BDR|data recovery|business continuity"
"5965853f-49cf-46f6-8015-f20ac46085b3","Copywriting & Storytelling","copywriting-storytelling","","Writing that converts and connects","Persuasive messaging and narratives","","Copywriting"
"2a97e5b3-78b1-4622-aedc-43c62b5ab10d","Loan Processing Systems","loan-processing-systems","","Manage loan workflows","End-to-end loan processing","","Loan systems"
"f5a4279c-be99-46f1-82ff-06a290cd5495","Internal Knowledge Bases","internal-knowledge-bases","","Stores SOPs, guides and internal knowledge","Centralised internal documentation","","Knowledge base|internal wiki"
"85b0efc6-f3a7-4c36-8686-657f7bfb48fa","Conversion Rate Optimisation (CRO)","conversion-rate-optimisation","","Testing and optimisation for conversions","Improve website conversion rates","","CRO|funnel optimisation"
"81db0777-89b5-4ec5-bdb5-6cffda8e7d11","Email Marketing","email-marketing","","Nurture and convert via email","Email campaigns and automation","","EDM"
"fd5da998-4952-471f-ad44-1fc4415dba81","Multi-Tenant Architecture","multi-tenant-architecture","","Architecture supporting multiple customers securely","Secure shared platforms for multiple clients","","Multi-tenant systems|SaaS architecture"
"4ac993e8-000b-4eca-b955-7a2025b8bd91","Data, Analytics & Reporting","data-analytics-reporting","","Dashboards, metrics and reporting","Turn data into insights","","Business intelligence|analytics"
"6aa4d353-4d38-44c3-a11f-82c838dc756e","Lead Attribution & Source Tracking","lead-attribution-source-tracking","","Identifies marketing sources driving leads","Track where leads come from","","Attribution tracking"
"dfe8789c-ba34-4376-8bed-059ffe59f0a3","OCR & AI Document Parsing","ocr-ai-document-parsing","","AI-powered document reading","Extract data from documents","","OCR|Document Scanning and Extraction"
"9b718375-8a24-4f97-8cbf-c00e9c33e945","Data Validation & De-Duplication","data-validation-deduplication","","Prevents duplicates and incorrect data","Clean and accurate data management","","Data cleansing|deduplication"
"a89efcfd-cc5b-4f8f-91f2-be2cb492f892","Process Automation","process-automation","","Streamlines workflows and operations","Automate repetitive business processes","","Workflow automation|RPA"
"951bfffb-7f40-4531-85c3-3c6e4fff1a28","Influencer & Partnership Marketing","influencer-partnership-marketing","","Leverage partnerships and influencers","Strategic partnerships for growth","","Partnerships"
"ba750ca0-6924-4f32-965a-3f6b4c4c43d0","Data Sync & Webhooks","data-sync-webhooks","","Pushes updates automatically across platforms","Real-time data syncing between systems","","Webhooks|data syncing"
"10c881e0-c4b2-43e6-8c9d-ea9d2e03d34d","AI Chatbots & Assistants","ai-chatbots-assistants","","Conversational AI for users or teams","AI assistants for support and productivity","","Chatbots|AI assistants"
"ea9a07db-e976-424a-bd8b-db422230589c","Lead Capture & Nurture","lead-capture-nurture","","Forms, emails and follow-ups","Capture and nurture leads","","Lead nurturing"
"215ae571-f2d1-41d8-b233-6663134ef01a","Managed IT Services","managed-it-services","","Outsourced management of business IT systems including support, updates, security and performance","Ongoing IT support, maintenance and infrastructure management","","IT support|IT management|MSP|managed services"
"ffc89a6a-dfc5-43ad-bf2a-f6cc56166f9f","Security, Encryption & Key Management","security-encryption-key-management","","Manages encryption standards and cryptographic keys","Protect data using encryption and key controls","","Data encryption|key vaults"
"b8f56768-de90-4818-88e1-2255b7ac5d45","White-Label Platforms","white-label-platforms","","Software that can be fully branded for resale","Rebrand platforms as your own","","White label software|rebranded SaaS"
"c5e6c55c-d67a-4add-8120-7106c15b46c5","In-App Notifications","in-app-notifications","","Alerts users of actions or updates","Notify users inside applications","","App alerts|notifications"
"18e8dd44-5c00-4060-91f4-422319bfcc78","SEO SEM & AEO","seo-sem-aeo","","Optimisation for search engines and AI answers","Search and AI optimisation strategies","","SEO|SEM|AEO"
"608f8af5-00a1-4c73-a335-1e72f3ebb8a5","Social Media Marketing (SMM)","social-media-marketing","","Strategy and execution across platforms","Social media growth and engagement","","SMM|social marketing"
"fab72898-016b-40e2-834e-b67d15381494","Team Task Management","team-task-management","","Assign and track work","Coordinate team tasks","","Task tracking"
"9e4b757c-62ea-42e6-8f55-35dfd02f0122","Privacy & Data Protection","privacy-data-protection","","Ensures compliance with privacy laws and best practices","Safeguard personal and sensitive data","","Data privacy|GDPR|privacy controls"
"67ad47a2-b92f-42c0-85f7-5a4ddff7ac91","Paid Advertising (Google, Meta, YouTube)","paid-advertising","","Strategy and execution of paid ads","Paid ad campaign management","","PPC|paid media"
"serviceArea-cloud-infrastructure","Cloud Infrastructure","cloud-infrastructure","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-managed-it","Managed IT","managed-it","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-cybersecurity","Cybersecurity","cybersecurity","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-network-firewalls","Network Firewalls","network-firewalls","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-backup-disaster-recovery","Backup & Disaster Recovery","backup-disaster-recovery","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-network-monitoring","Network Monitoring","network-monitoring","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-identity-access-management-iam","Identity & Access Management (IAM)","identity-access-management-iam","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-ai-automations","AI & Automations","ai-automations","🧩 CRM, Automation & Systems","","","",""
"serviceArea-system-integrations","System Integrations","system-integrations","🧩 CRM, Automation & Systems","","","",""
"serviceArea-privacy-data-security","Privacy & Data Security","privacy-data-security","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-zero-trust-security","Zero Trust Security","zero-trust-security","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-voip-communications","VoIP & Communications","voip-communications","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-data-residency-hosting-region","Data Residency & Hosting Region","data-residency-hosting-region","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-endpoint-security-edr","Endpoint Security (EDR)","endpoint-security-edr","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-crm-design","CRM Design","crm-design","🧩 CRM, Automation & Systems","","","",""
"serviceArea-crm-optimisation","CRM Optimisation","crm-optimisation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-marketing-automation","Marketing Automation","marketing-automation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-api-integrations","API Integrations","api-integrations","🧩 CRM, Automation & Systems","","","",""
"serviceArea-messaging-app-sync","Messaging App Sync","messaging-app-sync","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-system-uptime-monitoring","System Uptime & Monitoring","system-uptime-monitoring","🖥️ Technology, IT & Infrastructure","","","",""
"serviceArea-forms-surveys","Forms & Surveys","forms-surveys","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-ocr-ai-document-parsing","OCR & AI Document Parsing","ocr-ai-document-parsing","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-accept-reject-workflows","Accept / Reject Workflows","accept-reject-workflows","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-reporting-dashboards","Reporting & Dashboards","reporting-dashboards","📊 Data, Analytics & Reporting","","","",""
"serviceArea-lead-attribution-source-tracking","Lead Attribution & Source Tracking","lead-attribution-source-tracking","📊 Data, Analytics & Reporting","","","",""
"serviceArea-submission-review-approval","Submission Review & Approval","submission-review-approval","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-smart-task-automation","Smart Task Automation","smart-task-automation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-database-reactivation","Database Reactivation","database-reactivation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-document-collection","Document Collection","document-collection","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-document-collection-verification","Document Collection & Verification","document-collection-verification","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-margin-reporting-dashboards","Margin Reporting Dashboards","margin-reporting-dashboards","📊 Data, Analytics & Reporting","","","",""
"serviceArea-usage-analytics","Usage Analytics","usage-analytics","📊 Data, Analytics & Reporting","","","",""
"serviceArea-workflow-mapping","Workflow Mapping","workflow-mapping","🧩 CRM, Automation & Systems","","","",""
"serviceArea-smart-form-builders","Smart Form Builders","smart-form-builders","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-sop-creation-documentation","SOP Creation & Documentation","sop-creation-documentation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-data-validation-duplicate-control","Data Validation & Duplicate Control","data-validation-duplicate-control","🧩 CRM, Automation & Systems","","","",""
"serviceArea-lead-capture","Lead Capture","lead-capture","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-secure-document-uploads","Secure Document Uploads","secure-document-uploads","📋 Forms, Documents & Client Intake","","","",""
"serviceArea-data-analytics","Data & Analytics","data-analytics","📊 Data, Analytics & Reporting","","","",""
"serviceArea-process-automation","Process Automation","process-automation","🧩 CRM, Automation & Systems","","","",""
"serviceArea-thought-leadership","Thought Leadership","thought-leadership","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-feature-flags-releases","Feature Flags & Releases","feature-flags-releases","📊 Data, Analytics & Reporting","","","",""
"serviceArea-paid-ads-google-meta-youtube","Paid Ads (Google, Meta, YouTube)","paid-ads-google-meta-youtube","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-copywriting-storytelling","Copywriting & Storytelling","copywriting-storytelling","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-organic-marketing","Organic Marketing","organic-marketing","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-social-media-marketing","Social Media Marketing","social-media-marketing","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-objection-handling-closing","Objection Handling & Closing","objection-handling-closing","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-lead-nurture-programs","Lead Nurture Programs","lead-nurture-programs","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-content-marketing","Content Marketing","content-marketing","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-lead-management-systems","Lead Management Systems","lead-management-systems","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-client-retention","Client Retention","client-retention","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-referral-systems","Referral Systems","referral-systems","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-local-seo","Local SEO","local-seo","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-brand-messaging","Brand Messaging","brand-messaging","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-conversion-rate-optimisation-cro","Conversion Rate Optimisation (CRO)","conversion-rate-optimisation-cro","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-sales-training","Sales Training","sales-training","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-deal-lead-management-systems","Deal & Lead Management Systems","deal-lead-management-systems","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-seo-sem-aeo","SEO / SEM / AEO","seo-sem-aeo","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-funnels-landing-pages","Funnels & Landing Pages","funnels-landing-pages","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-public-relations-reviews","Public Relations & Reviews","public-relations-reviews","📣 Marketing, Growth & Revenue","","","",""
"serviceArea-public-speaking","Public Speaking","public-speaking","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-scheduling-automation","Scheduling Automation","scheduling-automation","📅 Scheduling & Events","","","",""
"serviceArea-event-registration-ticketing","Event Registration & Ticketing","event-registration-ticketing","📅 Scheduling & Events","","","",""
"serviceArea-loan-processing-systems","Loan Processing Systems","loan-processing-systems","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-settlement-processing","Settlement Processing","settlement-processing","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-trail-tracking","Trail Tracking","trail-tracking","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-cashflow-forecasting","Cashflow Forecasting","cashflow-forecasting","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-cross-selling-intelligence","Cross-Selling Intelligence","cross-selling-intelligence","📞 Sales, Enablement & Client Retention","","","",""
"serviceArea-team-training","Team Training","team-training","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-course-learning-design","Course & Learning Design","course-learning-design","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-video-podcast-production","Video & Podcast Production","video-podcast-production","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-media-training","Media Training","media-training","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-broker-compliance","Broker Compliance","broker-compliance","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-deal-packaging","Deal Packaging","deal-packaging","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-internal-knowledge-bases","Internal Knowledge Bases","internal-knowledge-bases","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-community-building","Community Building","community-building","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-presentation-skills","Presentation Skills","presentation-skills","🎓 Learning, Media & Content Delivery","","","",""
"serviceArea-calendar-sync","Calendar Sync","calendar-sync","📅 Scheduling & Events","","","",""
"serviceArea-credit-assessments","Credit Assessments","credit-assessments","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-lender-policy-support","Lender Policy Support","lender-policy-support","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-compliance-reporting","Compliance Reporting","compliance-reporting","🛡️ Fraud, Risk & Verification","","","",""
"serviceArea-compliance-workflow-automation","Compliance Workflow Automation","compliance-workflow-automation","🛡️ Fraud, Risk & Verification","","","",""
"serviceArea-profit-optimisation","Profit Optimisation","profit-optimisation","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-fraud-detection-systems","Fraud Detection Systems","fraud-detection-systems","🛡️ Fraud, Risk & Verification","","","",""
"serviceArea-offshore-staffing","Offshore Staffing","offshore-staffing","👥 Outsourcing & Operations Support","","","",""
"serviceArea-team-task-management","Team Task Management","team-task-management","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-broker-operations-support","Broker Operations Support","broker-operations-support","👥 Outsourcing & Operations Support","","","",""
"serviceArea-audit-trail-reporting","Audit Trail Reporting","audit-trail-reporting","🛡️ Fraud, Risk & Verification","","","",""
"serviceArea-culture-building","Culture Building","culture-building","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-financial-strategy","Financial Strategy","financial-strategy","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-business-valuations","Business Valuations","business-valuations","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-leadership-development","Leadership Development","leadership-development","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-burnout-nervous-system-regulation","Burnout & Nervous System Regulation","burnout-nervous-system-regulation","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-exit-succession-planning","Exit & Succession Planning","exit-succession-planning","🧾 Finance, Broker Ops & Compliance","","","",""
"serviceArea-operations-support","Operations Support","operations-support","👥 Outsourcing & Operations Support","","","",""
"serviceArea-performance-management","Performance Management","performance-management","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-founder-accountability","Founder Accountability","founder-accountability","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-emotional-intelligence","Emotional Intelligence","emotional-intelligence","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-identity-confidence-work","Identity & Confidence Work","identity-confidence-work","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-anxiety-reduction","Anxiety Reduction","anxiety-reduction","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-overthinking-procrastination-support","Overthinking & Procrastination Support","overthinking-procrastination-support","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-focus-productivity","Focus & Productivity","focus-productivity","🧠 Mindset Coaching & Growth Strategy","","","",""
"serviceArea-high-performance-psychology","High-Performance Psychology","high-performance-psychology","🧠 Mindset Coaching & Growth Strategy","","","",""
