_id,title,slug,description,icon
"serviceAreas-e-signature-consent-management","E-Signature & Consent Management","e-signature-consent-management","Digital signing with time-stamped consent audit trails.","pen"
"serviceAreas-exit-readiness-reporting","Exit Readiness Reporting","exit-readiness-reporting","Prepares financials and systems for acquisition due diligence.","flag"
"serviceAreas-security-encryption","Security & Encryption","security-encryption","Platform-level data security, encryption, and protection controls.","lock"
"serviceAreas-call-tracking-recording","Call Tracking & Recording","call-tracking-recording","Track, record and attribute phone calls to marketing sources.","phone"
"serviceAreas-condition-tracking-systems","Condition Tracking Systems","condition-tracking-systems","Automated management of conditional to unconditional requirements.","checklist"
"serviceAreas-compliance-reporting","Compliance Reporting","compliance-reporting","Automated compliance records, audit logs, and regulator-ready reporting.","file-check"
"serviceAreas-valuation-ordering-systems","Valuation Ordering Systems","valuation-ordering-systems","Digital ordering and tracking of valuations and inspections.","home"
"serviceAreas-cross-sell-intelligence","Cross-Sell Intelligence","cross-sell-intelligence","AI-driven cross-sell triggers for insurance, assets and upgrades.","shuffle"
"serviceAreas-single-sign-on","Single Sign-On (SSO)","single-sign-on","Secure login with identity providers like Google, Microsoft, or Okta.","key"
"serviceAreas-environment-management","Environment Management","environment-management","Separate dev, staging, and production environments.","server"
"serviceAreas-soc-2-compliance","SOC 2 Compliance","soc-2-compliance","Independent security and data protection assurance for cloud software platforms.","shield-check"
"serviceAreas-lead-attribution-source-tracking","Lead Attribution & Source Tracking","lead-attribution-source-tracking","Tracks exactly which channels generate leads and revenue.","radar"
"serviceAreas-feature-flags-releases","Feature Flags & Releases","feature-flags-releases","Controlled feature rollouts, beta access, and staged releases.","toggle-left"
"serviceAreas-broker-website-builder","Website Builder (Broker-Specific)","broker-website-builder","Broker-focused website builders optimised for compliance, conversion, and trust.","layout"
"serviceAreas-client-lifetime-value-tracking","Client Lifetime Value Tracking","client-lifetime-value-tracking","Tracks long-term revenue per client relationship.","trending-up"
"serviceAreas-referral-automation","Referral Automation","referral-automation","Automated referral requests and tracking systems.","git-pull-request"
"serviceAreas-role-based-workflows","Role-Based Workflows","role-based-workflows","Workflow routing based on team roles and permissions.","layers"
"serviceAreas-client-white-label-app","Client White-Label App","client-white-label-app","Branded mobile client experience for brokers.","smartphone"
"serviceAreas-trail-tracking-software","Trail Tracking Software","trail-tracking-software","Automated tracking of ongoing trail income.","repeat"
"serviceAreas-product-support-helpdesk","Product Support & Helpdesk","product-support-helpdesk","In-app support, live chat, ticketing and technical support.","help-circle"
"serviceAreas-system-uptime-monitoring","System Uptime & Monitoring","system-uptime-monitoring","Platform health monitoring, performance and uptime tracking.","activity"
"serviceAreas-compliance-workflow-automation","Compliance Workflow Automation","compliance-workflow-automation","Automated enforcement of compliance steps and checkpoints.","workflow"
"serviceAreas-data-residency-hosting-region","Data Residency & Hosting Region","data-residency-hosting-region","Control over where data is hosted geographically.","globe"
"serviceAreas-in-app-notifications","In-App Notifications","in-app-notifications","Real-time alerts and notifications inside the application.","bell"
"serviceAreas-lender-submission-gateways","Lender Submission Gateways","lender-submission-gateways","Direct digital submission pipelines into lender systems.","upload"
"serviceAreas-sms-sync","SMS Sync","sms-sync","Automatic syncing of SMS messages between platforms and client records for full communication tracking, compliance logging, and automated follow-ups.","message-square"
"serviceAreas-call-log-sync","Call Log Sync","call-log-sync","Automatic logging of inbound and outbound call activity for tracking, compliance, and performance reporting.","phone-call"
"serviceAreas-lead-management-system","Lead Management System","lead-management-system","Centralised system for creating, routing and managing inbound leads.","inbox"
"serviceAreas-digital-fact-find-tools","Digital Fact Find Tools","digital-fact-find-tools","Structured digital client intake and fact-find capture.","clipboard"
"serviceAreas-time-tracking-capacity-planning","Time Tracking & Capacity Planning","time-tracking-capacity-planning","Team utilisation, workload and capacity forecasting.","clock"
"serviceAreas-messaging-app-sync","Messaging App Sync","messaging-app-sync","Syncing of WhatsApp, Messenger, and other chat apps into software platforms to centralise client communications and maintain compliant audit trails.","messages-square"
"serviceAreas-offline-crm-access","Offline CRM Access (Mobile)","offline-crm-access","Mobile CRM access without internet for brokers on the road.","smartphone"
"serviceAreas-refinance-tracker","Refinance Tracker","refinance-tracker","Tools that monitor loan books, trigger refinance opportunities and prevent client churn.","repeater"
"serviceAreas-identity-access-management","Identity & Access Management (IAM)","identity-access-management","Enterprise-grade identity and access controls.","user-lock"
"serviceAreas-smart-form-builders","Smart Form Builders","smart-form-builders","Conditional logic forms with file uploads, ID capture and client intake.","list-check"
"serviceAreas-ai-chatbots-lead-capture","AI Chatbots (Lead Capture)","ai-chatbots-lead-capture","24/7 conversational bots to capture and qualify enquiries automatically.","bot"
"serviceAreas-internal-knowledge-bases","Internal Knowledge Bases","internal-knowledge-bases","Centralised operational knowledge and SOP hubs.","book-open"
"serviceAreas-deal-collaboration","Deal Collaboration","deal-collaboration","Multi-user collaboration across brokers, processors and teams.","users"
"serviceAreas-ocr-ai-document-parsing","OCR & AI Document Parsing","ocr-ai-document-parsing","AI extraction of payslips, IDs, bank statements and contracts.","scan"
"serviceAreas-annual-review-automation","Annual Review Automation","annual-review-automation","Automated yearly check-ins for refinance and portfolio reviews.","repeat-2"
"serviceAreas-data-validation-duplicate-control","Data Validation & Duplicate Control","data-validation-duplicate-control","Automatic data quality checks and duplicate prevention.","shield-alert"
"serviceAreas-client-retention","Client Retention","client-retention","Software, services and tools to maintain, support or gift give to clients, partners and the community.","present"
"serviceAreas-status-sync-aggregators","Status Sync with Aggregators","status-sync-aggregators","Real-time deal status sync with aggregator platforms.","refresh-ccw"
"serviceAreas-commission-tracking-systems","Commission Tracking Systems","commission-tracking-systems","Tracks broker commissions, splits and earnings.","dollar-sign"
"serviceAreas-margin-reporting-dashboards","Margin Reporting Dashboards","margin-reporting-dashboards","Revenue, cost and margin visibility across business units.","bar-chart"
"serviceAreas-broker-split-payables-automation","Broker Split & Payables Automation","broker-split-payables-automation","Automates broker revenue distribution and payouts.","split"
"serviceAreas-penetration-testing","Penetration Testing","penetration-testing","Ethical hacking and proactive security vulnerability testing.","bug"
"serviceAreas-what-if-forecasting-tools","What-If Forecasting Tools","what-if-forecasting-tools","Scenario modelling and future financial projections.","sliders"
"serviceAreas-disaster-recovery-as-a-service","Disaster Recovery as a Service","disaster-recovery-as-a-service","Fully managed disaster recovery with SLAs.","alert-circle"
"serviceAreas-enterprise-sla-management","Enterprise SLA Management","enterprise-sla-management","Contracted uptime and response guarantees.","badge-check"
"serviceAreas-email-marketing","Email Marketing","email-marketing","Software and services for outreach, newsletters and email management.","letter"
