_id,title,slug,category,description,icon
"15adce50-d45d-4f50-9341-8f72bf13bfcd","GreenID","greenid","Compliance & Risk","Digital identity verification (Australia).",""
"5f8586c1-b4eb-4924-96e4-f3027c0aad36","ZipID","zipid","Compliance & Risk","Australia Post digital identity verification.",""
"0a970b8a-6ed0-489d-bef2-a43864b96f0f","Zapier","zapier","Operations, AI & Workflow","No-code automation platform connecting 6,000+ apps.",""
"9c17d5fc-978c-49d7-9c68-bff60d551811","Google Drive","google-drive","Technology & Systems","Cloud file storage and document collaboration.",""
"8017d3cf-a608-420c-a7ac-a5617c688f98","Stripe","stripe","Finance & Strategy","Online payments and subscription billing platform.",""
"e6117f49-26d4-49f5-af31-301737233c0c","MessageMedia","messagemedia","Marketing & Lead Generation","Australian A2P SMS and messaging platform.",""
"c6c47fa4-ad51-4f68-9136-26bdff121b40","ActiveCampaign","activecampaign","Marketing & Lead Generation","Email marketing and automation platform.",""
"ace19cb7-e30d-4ed7-af7e-8f32390faa2f","Middle","middle-finsure","Sales & Client Onboarding","Finsure's Lead Management.",""
"12f83b36-1207-4e3b-984f-12abc7e4150b","Quickli","quickli-calculator","Finance & Strategy","Australian Serviceability Calculator.",""
"33403824-c4f3-47a2-8c0e-3f163f14c851","Typeform","typeform","Sales & Client Onboarding","Conversational forms for client intake and surveys.",""
"b8dc2a92-dd87-4ff5-9a39-805b8e7594c2","Jotform","jotform","Sales & Client Onboarding","Powerful form builder with workflow automations.",""
"7963f0be-22bd-429e-936a-98c65d2d099d","Airtable","airtable","Operations, AI & Workflow","Spreadsheet-database hybrid for ops and automation.",""
"172519ea-2bd3-4178-91a0-b4cbfdb1bad5","Illion","illion","Compliance & Risk","Australian commercial and consumer credit bureau.",""
"840ad9b5-47d5-4cdf-8b22-2e3f5243abb7","Vibe Coding","vibe-coding","Technology & Systems","Various online AI supported coding platforms.",""
"4f5c13f1-010b-4f7f-9c1c-4537ee11462b","n8n","n8n","Operations, AI & Workflow","Open-source workflow automation for developers.",""
"bbc6d5bb-95d9-465f-af57-f56edb2e9b41","Zoho CRM","zoho-crm","Sales & Client Onboarding","SME-friendly CRM with automation and reporting.",""
"de72dc6a-7059-42b0-b964-24c4bdc4d47e","Pipedrive","pipedrive","Sales & Client Onboarding","Sales-focused CRM built for pipeline tracking.",""
"6734ecbc-257a-4ed4-89b1-3435aba07885","Google Forms","google-forms","Sales & Client Onboarding","Simple surveys and data collection via Google.",""
"58719974-bc55-4ad2-8ce9-75e6f545ce52","Adobe Sign","adobe-sign","Operations, AI & Workflow","Enterprise-grade digital signature platform.",""
"46894717-a1c3-4f1b-83b3-792d48a43350","Dropbox","dropbox","Technology & Systems","Secure cloud file sync and sharing platform.",""
"f5b08dfb-803e-4f57-a5e2-6903b766ba5c","Xero","xero","Finance & Strategy","Cloud accounting platform for SMEs (AU preferred).",""
"698a299e-40f8-4fa8-a014-a31bf7572850","Firebase","firebase","Technology & Systems","Google’s realtime database and authentication stack.",""
"8a9202d5-b759-4436-9761-b2837d044bf2","APIs","tray-io","Technology & Systems","Direct system-to-system integrations using REST, GraphQL and webhooks for real-time data exchange and custom workflows.",""
"0d12bb7c-b465-4a72-bac1-f15202795318","DocuSign","docusign","Operations, AI & Workflow","Secure electronic document signing platform.",""
"380b43f8-8060-48a2-9761-c0fdec93fc9f","Square","square","Finance & Strategy","POS and digital payments ecosystem.",""
"48af1ea4-5bd8-4fe6-8709-7363af5a0d86","PayPal","paypal","Finance & Strategy","Global digital payments and wallet platform.",""
"78dd62e9-1c34-429d-947f-c6d4266f8718","Slack","slack","Client Retention & Education","Internal team communication and notifications.",""
"1576f62d-9cc3-449c-b031-b2cc25eef598","WordPress","wordpress","Technology & Systems","CMS for blogs, directories and websites.",""
"878d711a-a1b6-4c58-b1ad-a11d91aaab13","Sanity","sanity","Technology & Systems","Headless CMS for structured content and APIs.",""
"b8c5ebbd-3f52-4725-a88a-48038cbbf6cb","Next.js","nextjs","Technology & Systems","React framework for front-end and APIs.",""
"f1fab4b1-a775-46e7-bc27-460949f453e6","GoHighLevel","gohighlevel","Sales & Client Onboarding","All-in-one CRM with marketing automation and funnels.",""
"7ac3ea49-5a3e-4342-9dcf-a4c84c3dd480","MYOB","myob","Finance & Strategy","Australian accounting and payroll software.",""
"73bd50ea-1305-475f-be12-bd58b803f411","Supabase","supabase","Technology & Systems","Open-source backend with Postgres, auth, storage.",""
"2926c610-3a81-4c8b-9c85-40876bd14eba","Strapi","strapi","Technology & Systems","Open-source headless CMS.",""
"716a0623-9f31-4860-b530-2230e9410680","Equifax","equifax","Compliance & Risk","Credit reporting and borrower verification.",""
"80c395bc-1ef8-4fb2-8ab3-395576a31242","Experian","experian","Compliance & Risk","Global identity and credit verification provider.",""
"c1f1e970-f103-466b-85a4-22c8f07d8ec2","PriceFinder","pricefinder","Finance & Strategy","Residential property pricing and history.",""
"762126bf-7ff1-4466-a4c0-9cb981e60676","Glass’s Guide","glass-guide","Finance & Strategy","Vehicle pricing and valuation data.",""
"6cfa3687-cfbd-43f4-9acd-ecaec6b6ebe8","HubSpot","hubspot","Sales & Client Onboarding","Enterprise CRM for sales, marketing, and service.",""
"1c8dc279-8f37-4b0e-994c-53639837040e","CoreLogic RP Data","corelogic-rpdata","Finance & Strategy","Real-time property data and valuations.",""
"676d390b-919c-4b0e-a0a8-aad1f0c14977","Realestate.com.au API","rea-api","Finance & Strategy","Property listings and market data.",""
"30e2349b-b5f4-42fe-bdc9-cfc0397914a1","Chameleon","chameleon-creator","Client Retention & Education","Learning Design software.",""
"2d9d1b67-d15e-4dca-be3a-37823f725dee","Twilio","twilio","Marketing & Lead Generation","SMS, WhatsApp, and voice communications API.",""
"8d899a5f-40d7-46ff-a20a-1e668d43e428","Mailchimp","mailchimp","Marketing & Lead Generation","Email campaigns and marketing automation platform.",""
"a495adc7-485d-4b63-a0ca-00c67c78d25d","Dropbox Sign","dropbox-sign","Operations, AI & Workflow","Digital document signing with Dropbox integration.",""
"3c4038b2-f612-492a-878b-316503fb590e","Redbook","redbook","Finance & Strategy","Automotive pricing and specifications.",""
"7c1326c1-ae36-4bef-a045-c0445d887cb8","Carsales API","carsales-api","Finance & Strategy","Vehicle listings and data integration.",""
"a59d4840-bc21-425d-9fe6-ad6e472f8c2b","MyCRM","mycrm-lmg","Sales & Client Onboarding","LMG Lead Management Platform.",""
"53659d55-879b-4797-912f-8b2f846cdf2a","VideoAsk","video-ask","Marketing & Lead Generation","Video Lead Magnet Widget.",""
"e6e9bd77-91ba-454b-a572-75494494e6fc","Make","make","Operations, AI & Workflow","Advanced visual automation with logic and branching.",""
"a3bed975-7fa9-4147-9c4c-6e51901ad75a","Tally","tally","Sales & Client Onboarding","Lightweight modern form builder for SaaS products.",""
"d92da73e-3879-454c-b9b9-5a7746dbeb18","OpenAI","openai","Operations, AI & Workflow","AI models for chat, OCR, automation and enrichment.",""
