_id,name,slug,category,tagline,description,websiteUrl,location,availability,brokerTypes,serviceAreas,features,pricingModel,pricingRangeMin,pricingRangeMax,pricingNotes,badges,reviews
"serviceProvider-promptli","Promptli","promptli","directoryCategory-loan-processing-credit-support","Quick, compliant credit assessments — on-demand.","Promptli delivers fast, accurate credit assessments and loan-deal processing for mortgage brokers. Their expert credit analysts turn deals and borrower documents into full assessment reports, helping brokers scale capacity and close deals faster without adding headcount","https://promptli.com.au/","Sydney, Philippines","","Mortgage","Credit Assessments|Deal Packaging|Document Collection & Verification|Lender Policy Support","Ad Hoc|Loan Processing Support|Backed by the team at Quickli","","","","","",""
"serviceProvider-bolder-digital","BolderDigital","bolder-digital","56650d54-5451-4290-a816-a9093a980a34","Your client follow up 24x7","Bolder Digital build automations that manages customer conversations and books appointments across multiple channels without human involvement, streamlining the entire customer interaction process.","https://bolderdigital.com.au/","online","","Mortgage|Asset|Commercial","CRM Setup|Marketing Automation|Lead Nurture|AI & Automations|Funnels|Google My Business Reviews","AI Follow Up Agents|Lead Generation|Review Recognition Engine","","","","","",""
"serviceProvider-milex-technology","Milex Technology","milex-technology","directoryCategory-it-support","IT that works as hard as you do","Milex is a technology services provider based in Sydney, delivering managed IT, cybersecurity, cloud infrastructure, and business systems support. They help organisations simplify technology, strengthen security, and scale with confidence through proactive support, tailored solutions, and strategic IT advisory. Milex partners with growing businesses to improve performance, reduce risk, and future-proof operations with reliable, high-impact technology.","https://milex.com.au/","Sydney, Remote","","Mortgage|Asset|Commercial","Managed IT|Cybersecurity|Cloud Infrastructure|VoIP Systems|Remote Support","VoIP Specialist|Scaling Services|Remote Support","","","","","",""
"serviceProvider-it-zen","IT Zen","it-zen","directoryCategory-it-support","Calm, secure technology for modern business","IT Zen is an IT and cybersecurity provider focused on creating calm, secure, and high-performing technology environments for modern businesses. Based in Launceston, they deliver tailored IT support, cloud solutions, cybersecurity, and proactive monitoring to reduce noise, prevent downtime, and improve productivity around Australia. With a people-first approach and a focus on simplicity, IT Zen helps organisations stay balanced, protected, and confidently supported as they grow.","https://www.itzen.com.au/","Launceston, Remote","","Mortgage|Asset|Commercial","Managed IT|Cybersecurity|Productivity Systems|Remote Support|Business IT Strategy","Calm Services|Managed IT services|Increased Productivity","","","","","",""
"serviceProvider-fusemate","FuseMate","fusemate","56650d54-5451-4290-a816-a9093a980a34","Reliable. Profitable. Scalable Go High Level & website Support.","Fusemate provides businesses with a certified white label marketing team that increases capacity, skill sets and profit without the headache of finding expensive full-time staff. Flat-rate, Go High Level Support for creative & development tasks. Specialized full time Go High Level Virtual Assistants","https://fusemate.io/","online","","Mortgage|Asset|Commercial","GoHighLevel (GHL)|Marketing Automation|Lead Nurture|AI & Automations|Funnels|WordPress","Pod Support|Go High Level Specialist|Marketing Lifestyle specialist","","","","","Recommended Partner",""
"serviceProvider-learn-awesome","Learn Awesome","learn-awesome","directoryCategory-client-experience-retention","Help you become a local community hero","Learn Awesome helps companies and experts create interactive, engaging, and memorable learning experiences that drive long-term customer retention and activate thriving local communities.","https://learnawesome.com.au/","Melbourne, Online","","Mortgage|Asset|Commercial","Education Programs|Digital Learning Design|Customer Retention Systems|Community Leadership","Retention Focussed|Flexible Work Location|Learning Designer","","","","","",""
"serviceProvider-vahler-media","Vahler Media","vahler-media","directoryCategory-paid-advertising","Performance marketing without the fluff","Vahler Media is a results-driven digital marketing agency specialising in paid media, funnels, and growth campaigns for service-based and online businesses. They focus on data-backed strategies that turn traffic into measurable revenue—not vanity metrics.","https://www.valhermedia.com/","online","","Mortgage|Asset|Commercial","Google Ads|Meta Ads|Funnels|Conversion Optimisation|AI & Automations","Performance Based|Data Drive|Adaptability","","","","","Recommended Partner",""
"serviceProvider-b2b-school","B2B School","b2b-school","directoryCategory-organic-traffic-seo-content","Build authority. Collect Leads. Close Faster","B2B School is an education platform for consultants, agencies, and B2B service providers looking to systemise their business, sharpen their offers, and scale profitably with repeatable growth frameworks.","https://b2bschool.co/home","online, Sydney, Melbourne","","Mortgage|Asset|Commercial","B2B Sales Training|Offer Design|Sales Systems|Lead Conversion|Business Scaling|Organic Traffic","Low-Tech Startup|Repeatable Business Model|Online Community","","","","","",""
"serviceProvider-marketing-results","Marketing Results","marketing-results","directoryCategory-paid-advertising","Marketing that pays for itself.","Marketing Results delivers accountability-first digital marketing for Australian businesses, combining SEO, Google Ads, conversion optimisation, and strategy to drive sustainable, long-term growth with transparent ROI.","https://marketingresults.com.au/","online","","Mortgage|Asset|Commercial","SEO|Local SEO|Content Marketing|Conversion Rate Optimisation (CRO)|Google Ads|Meta Ads","ROI-Driven|Local Australian Support|Scaling Focussed","","","","","",""
"serviceProvider-pronarrative","ProNarrative","pronarrative","directoryCategory-paid-advertising","Where your story becomes your strategy.","ProNarrative helps brands craft powerful messaging, positioning, and thought-leadership content that connects with audiences and drives action. They specialise in strategic storytelling for founders, experts, and purpose-led businesses.","https://pronarrative.com.au/","online","","Mortgage|Asset|Commercial","SEO|Google Ads|Meta Ads|Content Marketing|Conversion Rate Optimisation (CRO)|Brand Messaging","Thought-Leadership Focussed|Messaging Specialist|ROI-Driven","","","","","",""
"serviceProvider-emily-diamond","Emily Diamond Coaching","emily-diamond","directoryCategory-mindset-performance","Build the business. Become the leader.","Emily Diamond Coaching supports founders and business owners to scale sustainably through mindset, leadership development, and strategic alignment—bridging performance with personal evolution.","https://linktr.ee/emilythediamond","Brisbane, Online","","Mortgage|Asset|Commercial","Identity & Confidence Work|Emotional Intelligence|Burnout & Nervous System Regulation|Founder Alignment","High Performance Coaching|Neuro Linguistic Programming (NLP) Practitioner|Human Thread of Thoughts Prompter","","","","","Recommended Partner",""
"serviceProvider-impactful-presenters","Impactful Presenters","impactful-presenters","directoryCategory-public-speaking-authority","Speak with confidence. Lead with impact.","Impactful Presenters trains leaders, founders, and professionals to communicate with clarity, confidence, and influence—whether on stage, on camera, in meetings, or online.","https://www.impactfulpresenters.com/","Brisbane, Online","","Mortgage|Asset|Commercial","Presentation Skills|Public Speaking|Media Training|Pitch Training|On-Camera Confidence","CoHort Training|Confidence Builder|In Person Workshops Available","","","","","Recommended Partner",""
"serviceProvider-penhaligon-applied-psychology","Penhaligon Applied Psychology","penhaligon-applied-psychology","directoryCategory-mindset-performance","Get real change, real fast.","Penhaligon Applied Psychology helps high performers stop overthinking, procrastinating, and stressing themselves out using practical psychology methods that reduce burn-out and unlock peak performance.","https://www.penhaligons.com.au/","Sydney, Online","","Mortgage|Asset|Commercial","Anxiety Reduction|Overthinking & Procrastination|Focus & Productivity|High-Performance Psychology","Evidence Based|Burn-out & Recovery|Goals & Direction","","","","","",""
"serviceProvider-auctus-coaching","Auctus Coaching","auctus-coaching","directoryCategory-broker-coaching","Growth, built from the inside out","Auctus Coaching works with founders and teams to unlock sustainable growth through leadership development, performance coaching, and high-trust organisational strategy","https://auctuscoaching.au/","Sunshine Coast, Online","","Mortgage","Leadership Development|Team Performance|Culture Building|Strategic Growth|SOP Creation & Documentation","VA Training|Systems First Approach|Aggregator Software Advocate","","","","","Recommended Partner",""
"serviceProvider-broker-coach","Broker Coach","broker-coach","directoryCategory-broker-coaching","Build a mortgage business that actually scales","Broker Coach provides specialist coaching for mortgage brokers focused on business structure, time leverage, leadership, and predictable growth—without sacrificing lifestyle.","https://brokercoach.com.au/","Sydney, Online","","Mortgage","Mortgage Business Coaching|Systems & Scaling|Time Leverage|Team Building|Content Marketing","Values Based|Content Marketing|Scaling Focussed","","","","","",""
"serviceProvider-systemology","Systemology","systemology","directoryCategory-workflow-design","Replace yourself with systems","Systemology helps business owners extract critical processes, build operational playbooks, and scale without chaos—turning founder-dependent businesses into process-driven machines.","https://www.systemology.com/","Melbourne, Online","","Mortgage|Asset|Commercial","Workflow Mapping|SOP Creation & Documentation|Process Automation|Team Training","Documentation Expert|Systems Champion Advocate|Process Driven","","","","","",""
"serviceProvider-proowrx","Prooworx","proowrx","directoryCategory-virtual-assistants-outsourcing","Hire a Dedicated Credit Analyst","Proowrx handles loan processing, bookkeeping, accounting and back-office operations for mortgage brokers and finance firms — giving business owners freedom to focus on growth while ensuring compliance and efficiency.","https://proowrx.com/","Sydney, India","","Mortgage|Asset|Commercial","Loan Processing (Offshore)|Admin Support|Bookkeeping Support|Broker Operations Support","Credit Analyst|Indian Based Support|Secure Venue","","","","","",""
"serviceProvider-bula-outsourcing","Bula Outsourcing","bula-outsourcing","directoryCategory-virtual-assistants-outsourcing","Your offshore team—done right","Bula Outsourcing connects growing businesses with high-quality offshore staff across admin, operations, sales, and support while handling recruitment, onboarding, payroll, and compliance.","https://bulaoutsourcing.com.au/","Fiji","","Mortgage|Asset|Commercial","Offshore Staffing|Offshore Admin|Sales Support|Operations Support|Loan Processing","Broker Support|Fiji Based Support|Dedicated Team","","","","","",""
"serviceProvider-threats-patrol","Threats Patrol","threats-patrol","directoryCategory-it-support","Continuous automated cybersecurity operations","We've had opportunity to help very-large organizations and much smaller companies with their cybersecurity-engineering challenges and cybersecurity situations. Protecting organisations who have teams offshore in the Philippines and around the world.","https://www.threatpatrols.com/","Gold Coast","","Mortage|Asset|Commercial","Cybersecurity|AntiFraud|Firewalls|virtual-CISO","CyberSecurity Focussed|Google Cloud|Open Source","","","","","",""
"serviceProvider-stephen-soo","Stephen Soo Coaching","stephen-soo","3d573626-0fde-45d2-954d-7375270b4b3a","Lead with clarity. Execute with confidence","Stephen Soo Coaching helps brokers and executives simplify strategy, strengthen leadership, and implement systems that drive consistent growth without burnout.","","Melbourne, Online","","Mortgage","[object Object]","Strategic Leadership|Profit by Design|Risk-Ready Business","","","","","",""
