_id,title,slug,tagline,category,brokerType,serviceArea,description,features,pricingModel,websiteURL,metaDescription,synonyms,image1_alt,image1_isLogo
"2043fb4d-1946-42da-ad6a-f363eed64a3a","VideoAsk","videoask","Face-to-face forms & funnels","Sales & Client Onboarding","Mortgage|Asset|Commercial","Lead Capture & Nurture|Smart Form Builders|Funnels & Landing Pages|Conversion Rate Optimisation (CRO)","Asynchronous video Q&A and conversational forms used for lead capture and onboarding","Video prompts (core)|branching logic (core)|embeds (core)|captions (core)","Subscription","https://www.videoask.com","Conversational video-based forms that improve lead engagement and onboarding completion.","video forms|conversational onboarding|video lead capture","VideoAsk logo","true"
"801f6afd-03ae-4f66-90f0-16696e28606b","Zoho Calendar","zoho-calendar","Zoho's business calendar","Operations, AI & Workflow","Mortgage|Asset|Commercial","Calendar Sync|Smart Task Automation|System Integrations & APIs","Calendar application within the Zoho ecosystem","Shared calendars (core)|group events (core)","Freemium + Subscription","https://www.zoho.com/calendar","Business calendar tightly integrated with the Zoho productivity suite.","business calendar|Zoho scheduling|team calendars","Zoho Calendar logo","true"
"eb2590d2-18eb-41d2-96ba-cef2f9e271c4","Otter","otter","Transcribe meetings & lectures","Meeting Transcription","Mortgage|Asset|Commercial","Internal Knowledge Bases|Video & Podcast Production|Focus & Productivity","Live transcription and note-taking app for meetings and conversations.","Live captions (core)|recordings (core)|summaries (core)|collaboration (core)","Freemium + Subscription","https://otter.ai","Real-time transcription and searchable meeting notes.","live transcription|ai notes|meeting captions","Otter AI logo","true"
"2ed6cdb5-2c55-42a5-9059-4e8478414f56","Humanitix","humanitix","Tickets for good causes","Events & Ticketing","Mortgage|Asset|Commercial","Lead Capture|Funnels & Landing Pages|Referral Systems","Event ticketing platform that funds social impact through booking fees.","Event pages (core)|seating (core)|payouts (core)|charity funding (core)","Pay-as-you-go","https://humanitix.com","Event ticketing platform that donates profits to education projects.","event ticketing|ethical ticketing|event registration","Humanitix logo","true"
"468dc6ae-9285-4f17-92a9-e79b05aefe44","Carrd","carrd","Simple one-page sites","Marketing & Lead Generation","Mortgage|Asset|Commercial","Landing Page Builders (No-Code)|Funnels & Landing Pages|Lead Capture & Nurture|Conversion Rate Optimisation (CRO)","Lightweight builder for one-page websites and funnels","Templates (core)|forms (core)|embeds (core)","Freemium + Subscription","https://carrd.co","Simple landing page builder for quick launches and lead capture.","one page sites|landing page builder|simple websites","Carrd logo","true"
"293bdc5e-95c7-4cc2-85eb-e752c8ee1268","Databox","databox","Business KPIs in one place","Operations, AI & Workflow","Mortgage|Asset|Commercial","Reporting & Dashboards|Data, Analytics & Reporting","KPI dashboards with prebuilt templates","Goals (core)|alerts (core)|mobile dashboards (core)","Freemium + Subscription","https://databox.com","KPI dashboard platform for tracking business performance.","kpi dashboards|business reporting|metrics","Databox logo","true"
"6fa23350-6b04-4eac-a009-d379e5c01f8f","Text Expander","textexpander","Type less, say more","Productivity Utilities","Mortgage|Asset|Commercial","SOP Creation & Documentation|Focus & Productivity|Workflow Mapping","Text expansion tool for reusable snippets and templates.","Snippets (core)|variables (core)|team sharing (core)","Subscription","https://textexpander.com","Text expansion tool for reusable snippets and templates.","text expansion|ai snippets|productivity tools","TextExpander logo","true"
"b577e560-f0fd-4d13-b314-53403179768f","WebinarJam","webinarjam","Live webinar marketing platform","Webinars","Mortgage|Asset|Commercial","Funnels & Landing Pages|Video & Podcast Production|Conversion Rate Optimisation (CRO)","Webinar platform designed for marketing and conversion.","Live webinars (core)|replays (core)|offers (core)","Subscription","https://webinarjam.com","","","WebinarJam logo","true"
"44e1ecd9-edc8-46e6-bd7e-1bdad49ecb1d","RoboForm","roboform","Password manager & form filler","Password Management","Mortgage|Asset|Commercial","Identity & Access Management (IAM)|Security & Encryption|Privacy & Data Security","Password manager with strong form-filling capabilities.","Auto-fill (core)|vaults (core)|sharing (core)","Subscription","https://www.roboform.com","","","RoboForm logo","true"
"1c2df455-b947-4953-82b3-db5488f97283","Hemingway App","hemmingway-app","Make your writing bold and clear","Other","Mortgage|Asset|Commercial","Content Marketing|Copywriting & Storytelling|Brand Messaging","Writing clarity and readability improvement tool.","Readability scoring (core)|clarity highlights (core)","Free","https://hemingwayapp.com","","","Hemingway App logo","true"
"d248d969-d6f9-4dbf-b88d-a40ff2c3335e","DocuScan","docuscan","Turn documents into trusted data","AI Fraud Check & Identity Verification","Mortgage|Asset|Commercial","Fraud Detection Systems|OCR & AI Document Parsing|Document Collection & Verification|Compliance Workflow Automation","AI-based document data extraction and fraud detection used by lenders and finance brokers","OCR extraction (core)|fraud signals (core)|compliance checks (core)|APIs (core)","Pay-as-you-go","https://www.docuscan.com.au","","","","true"
"ccb8a7a2-25a7-46ea-aba4-d79497e9e066","Fortiro","fortiro","Financial crime intelligence","AI Fraud Check & Identity Verification","Mortgage|Asset|Commercial","Fraud Detection Systems|Compliance Reporting|Zero Trust Security","AI-powered AML, fraud monitoring and compliance reporting for financial institutions","Transaction screening (core)|sanctions monitoring (core)|case management (core)|reporting (core)","Pay-as-you-go","https://fortiro.com","","","","true"
"662077ef-934f-439d-8577-aba0ac9f5897","PhantomBuster","phantom-buster","Automate web actions & scraping","Marketing & Lead Generation","Mortgage|Asset|Commercial","Process Automation|Lead Capture & Nurture|System Integrations & APIs","Cloud automations for prospecting, scraping and web workflows","LinkedIn actions (core)|scrapers (core)|workflows (core)","Subscription","https://phantombuster.com","Web automation platform for lead generation, enrichment and data collection at scale.","web scraping|lead automation|growth tools","PhantomBuster logo","true"
"62114b3a-161d-42fd-9833-c2d9c1539460","Hunter","hunter","Find and verify professional emails","Marketing & Lead Generation","Mortgage|Asset|Commercial","Email Marketing|Lead Capture & Nurture|Data Validation & De-Duplication","Email finder and verifier for B2B prospecting","Email finder (core)|verifier (core)|campaigns (core)","Freemium + Subscription","https://hunter.io","B2B email discovery and verification tool for building clean prospect lists.","email finder|lead enrichment|list building","Hunter logo","true"
"2b191f51-c7a5-4597-a20d-1fbe2ba7edec","DragApp","dragapp","Collaborative Gmail workspace","Operations, AI & Workflow","Mortgage|Asset|Commercial","Team Task Management|Smart Task Automation|Internal Knowledge Bases","Shared inbox and task boards built directly inside Gmail","Shared inbox (core)|Kanban (core)|notes (core)","Subscription","https://www.dragapp.com","Gmail-based shared inbox and task management tool for small teams.","shared inbox|gmail collaboration|task management","DragApp logo","true"
"adb06d97-8a6f-42ea-b269-7afd9e5b8b81","Google Calendar","google-calendar","Calendar for work and life","Operations, AI & Workflow","Mortgage|Asset|Commercial","Calendar Sync|Smart Task Automation|System Integrations & APIs","Core scheduling app within Google Workspace","Events (core)|reminders (core)|shared calendars (core)","Free","https://calendar.google.com","Widely used calendar platform for scheduling, reminders and integrations.","google calendar|scheduling app|meeting planner","Google Calendar logo","true"
"caddda2d-4246-4b4c-a413-65e1e264cadb","SurveyMonkey","surveyMonkey","SurveyMonkey","Sales & Client Onboarding","Mortgage|Asset|Commercial","Lead Capture & Nurture|Smart Form Builders|Document Collection & Verification","SurveyMonkey","PDF builder (core)|approvals (core)|widgets (core)","Freemium + Subscription","https://www.surveymonkey.com","Robust form builder for data collection and document workflows.","form builder|online forms|document collection","SurveyMonkey logo","true"
"6d4ffa7b-09d5-4d77-9e32-53241160ecad","Porkbun","porkbun","Delightfully cheap domains","Technology & Systems","Mortgage|Asset|Commercial","Cloud Infrastructure & Hosting|Privacy & Data Protection|Data Residency & Hosting Region","Low-cost domain registrar with strong UX","Domains (core)|DNS (core)|WHOIS privacy (core)","Subscription","https://porkbun.com","Affordable domain registrar with free WHOIS privacy.","domain registrar|cheap domains|dns management","Porkbun logo","true"
"2207e11a-58d6-4fce-aa1a-6743e2cf27d4","Jotform","jotform","Powerful online forms made easy","Sales & Client Onboarding","Mortgage|Asset|Commercial","Lead Capture & Nurture|Smart Form Builders|Document Collection & Verification","Versatile form builder with approvals and PDFs","PDF builder (core)|approvals (core)|widgets (core)","Freemium + Subscription","https://www.jotform.com","Robust form builder for data collection and document workflows.","form builder|online forms|document collection","Jotform logo","true"
"b47bcec2-0e97-4a17-95aa-6a6d09ce6946","SurveyMonkey","survey-monkey","Create surveys and collect responses","Sales & Client Onboarding","Mortgage|Asset|Commercial","Lead Capture & Nurture|Smart Form Builders|Document Collection & Verification","Survey builder with analytics and integrations","Surveys (core)|responses (core)|analytics (core)","Freemium + Subscription","https://www.surveymonkey.com","Survey builder for market research and lead generation.","survey builder|online surveys|market research","SurveyMonkey logo","true"
"cc6ab741-a12f-4d3b-92c3-0b411d0769c1","TransactorApp","transactorapp","Making property transactions easy","Mortgage Software","Mortgage","Settlement Processing|Broker Compliance|Deal Packaging|Compliance Workflow Automation","End-to-end transaction management platform for mortgage and real estate brokers to track deals, manage milestones, handle compliance and streamline settlement workflows","Notifications (core)|portal (core)|APIs (core)|client communications (core)","Subscription","https://transactorapp.com","","","","true"
"6ebe004e-1ed9-4cc4-89b1-74eaba684984","PipeDrive","pipedrive","Simple, pipeline-focused CRM","Technology & Systems","Mortgage|Asset|Commercial","Deal & Lead Management|Opportunity & Pipeline Management|Process Automation|Data, Analytics & Reporting","Deal-centric CRM with visual pipelines and sales automation","Visual pipelines (core)|activities (core)|automation (core)","Subscription","https://pipedrive.com","Pipeline-focused CRM helping teams visualise deals, manage follow-ups and automate sales workflows.","sales pipeline CRM|deal tracking software","Pipedrive logo","true"
"9f900e75-b9c1-4b0b-b358-43750ec88aac","Zapier","zapier","Connect your apps, automate workflows","Operations, AI & Workflow","Mortgage|Asset|Commercial","Process Automation|System Integrations & APIs|Data Sync & Webhooks|AI & Intelligent Automation","No-code automation platform connecting thousands of SaaS tools","Multi-step zaps (core)|webhooks (core)|filters (core)|scheduling (core)","Freemium + Subscription","https://zapier.com","No-code automation platform for connecting apps and streamlining workflows without engineering effort.","workflow automation|app integrations|no-code automation","Zapier logo","true"
"367a726c-9eef-4d2c-b724-5d3c7e50d1ae","MillionVerifier","million-verifier","Affordable bulk email verifier","Marketing & Lead Generation","Mortgage|Asset|Commercial","Email Marketing|Data Validation & De-Duplication|Database Reactivation","Budget-friendly email list verification service","Bulk verification (core)|API (core)|reports (core)","Pay-as-you-go","https://millionverifier.com","Low-cost email verification tool for cleaning large lists and reducing bounce rates.","email list cleaning|bulk email verification","Million Verifier logo","true"
"bb0e33ee-e21b-4dfb-98c8-d78008abc01d","VentraIP","ventraip","Australian web hosting & domains","Technology & Systems","Mortgage|Asset|Commercial","Cloud Infrastructure & Hosting|Data Residency & Hosting Region|Backup & Disaster Recovery","Australian-based hosting and domain provider","Shared hosting (core)|domains (core)|SSL (core)|email (core)","Subscription","https://ventraip.com.au","Australian hosting provider supporting local data residency requirements.","AU hosting|australian web hosting|domain hosting","VentraIP logo","true"
"2f8a569c-e20d-47eb-a5d1-cf90c1bf93e6","PostHog","posthog","Product analytics & feature flags","Operations, AI & Workflow","Mortgage|Asset|Commercial","Data, Analytics & Reporting|Conversion Rate Optimisation (CRO)|System Integrations & APIs","Product analytics platform with experimentation tools","Funnels (core)|cohorts (core)|feature flags (core)","Freemium + Subscription","https://posthog.com","Product analytics and experimentation platform for SaaS and platforms.","product analytics|feature flags|user behaviour","PostHog logo","true"
"25cee5f3-a805-4cfd-8d1e-3f8aac58e139","Mixpanel","mixpanel","Product analytics for growth teams","Operations, AI & Workflow","Mortgage|Asset|Commercial","Data, Analytics & Reporting|Conversion Rate Optimisation (CRO)|Lead Attribution & Source Tracking","Event-based analytics for SaaS and apps","Event tracking (core)|cohorts (core)","Freemium + Subscription","https://mixpanel.com","Advanced event analytics platform for understanding user behaviour.","event analytics|growth analytics|product insights","Mixpanel logo","true"
"8a374678-52e3-4979-8a5d-6a5030b6bfd8","Flourish","flourish","Tell stories with data","Marketing & Lead Generation","Mortgage|Asset|Commercial","Reporting & Dashboards|Data, Analytics & Reporting|Thought Leadership","Interactive data visualisation and storytelling platform","Interactive charts (core)|embeds (core)","Freemium + Subscription","https://flourish.studio","Data storytelling tool for publishing interactive visuals.","data visualisation|storytelling charts|interactive reports","Flourish logo","true"
"e4645730-3401-4c32-a5d6-e7295b3aba79","StreamYard","streamyard","Live stream studio in your browser","Streaming & Webinars","Mortgage|Asset|Commercial","Video & Podcast Production|Media Training|Thought Leadership","Browser-based live streaming studio for multiple platforms.","Multi-platform streaming (core)|branding (core)|recording (core)","Subscription","https://streamyard.com","","","StreamYard logo","true"
"70b5f4c5-ac21-4c71-b826-a5eb62c055d9","ClickUp","clickup","One app to replace them all","Operations, AI & Workflow","Mortgage|Asset|Commercial","Project Management|Team Task Management|SOP Creation & Documentation|Process Automation","Highly flexible work management tool covering tasks, docs, goals and dashboards","Tasks (core)|docs (core)|dashboards (core)|automations (core)","Freemium + Subscription","https://clickup.com","Work management platform centralising tasks, documentation and workflows across teams.","project management tool|workflow platform|team collaboration software","ClickUp logo","true"
"81936faa-97e6-47ac-984f-d8b222389409","Trello","trello","Visual boards for anything","Operations, AI & Workflow","Mortgage|Asset|Commercial","Project Management|Team Task Management|Workflow Design","Kanban-style boards for tasks and workflows","Boards (core)|cards (core)|checklists (core)","Freemium + Subscription","https://trello.com","Simple visual task and workflow management tool using boards and cards.","kanban boards|task tracking software","Trello logo","true"
"55fce48d-ffdb-4702-a892-e0837a9a4034","MailReef","mail-reef","Cold email mailbox infrastructure","Technology & Systems","Mortgage|Asset|Commercial","Email Marketing|System Uptime, Monitoring & Alerts|Security, Encryption & Key Management","Infrastructure platform for email deliverability, warm-up and inbox health","DNS setup (core)|warm-up (core)|monitoring (core)","Subscription","https://www.mailreef.com","Email infrastructure platform supporting cold email deliverability and mailbox reputation management.","email infrastructure|deliverability tools|cold email setup","MailReef logo","true"
"b9c21ea5-e290-4d33-aecd-dae576863967","Microsoft Teams","microsoft-teams","Chat, meet, call, collaborate","Video & Collaboration","Mortgage|Asset|Commercial","VoIP & Communications|Messaging App Sync|Microsoft 365 / Google Workspace","Microsoft collaboration platform for chat, meetings and calls.","Chat (core)|meetings (core)|channels (core)|apps (core)","Free","https://teams.microsoft.com","","","Microsoft Teams logo","true"
"62bb2e20-9ecd-49ef-a15f-a36dc7057b12","Resistant.AI","resistant-ai","AI risk & fraud detection for fintech","AI Fraud Check & Identity Verification","Mortgage|Asset|Commercial","Fraud Detection Systems|Zero Trust Security|Compliance Reporting","Machine-learning fraud detection platform focused on AML, payments and lending risk","Transaction monitoring (core)|fraud scoring (core)|behavioural analytics (core)|alerts (core)","Pay-as-you-go","https://resistant.ai","","","","true"
"40f24c05-2d2e-468a-a255-8a95d52d7660","Jumio","jumio","Online identity verification","AI Fraud Check & Identity Verification","Mortgage|Asset|Commercial","Identity & Access Management (IAM)|Fraud Detection Systems|Compliance Reporting","Global leader in biometric identity verification, KYC and AML compliance","Face match (core)|ID validation (core)|liveness detection (core)|AML screening (core)","Pay-as-you-go","https://www.jumio.com","","","","true"
"ee225740-0b05-415d-b4c6-a6935a461090","LoanOptions.AI","loanoptions-ai","AI-powered loan analysis and product matching for Asset Finance","Asset Software","Asset","AI & Automations|Credit Assessments|Lead Management System|OCR & AI Document Parsing","Intelligent loan comparison engine for asset finance brokers that assesses borrower profiles, automates early credit analysis and improves lender matching","Lead management (core)|document collection (core)|task automation (core)|reminders (core)","Subscription","https://loanoption.ai","","","","true"
"b7fe5e6f-798f-452c-95b8-3d6bb18e98fb","AgileCRM","agilecrm","All-in-one CRM with project management","Technology & Systems","Mortgage|Asset|Commercial","CRM Design & Architecture|Deal & Lead Management|Marketing Automation|Project Management","CRM platform combining sales, marketing automation and project management","Contact management (core)|automations (core)|projects (core)","Freemium + Subscription","https://www.agilecrm.com","All-in-one CRM combining sales, marketing automation and lightweight project management.","all-in-one CRM|sales and marketing platform","AgileCRM logo","true"
"840d7909-3dca-4ddf-9f4f-6068923a05ec","n8n","n8n","Open-source workflow automation","Operations, AI & Workflow","Mortgage|Asset|Commercial","Process Automation|System Integrations & APIs|Data Sync & Webhooks|Workflow Design","Self-hostable automation tool for building complex workflows","Nodes library (core)|JS functions (core)|triggers (core)","Subscription","https://n8n.io","Open-source automation platform for teams needing advanced, self-hosted workflow control.","open source automation|workflow engine|system integrations","n8n logo","true"
"014e5da1-dbd2-4430-b4e4-2151063d453c","Calendly","calendly","Easy scheduling ahead","Sales & Client Onboarding","Mortgage|Asset|Commercial","Calendar Sync|Lead Capture & Nurture|Smart Task Automation","Self-service scheduling links with routing and reminders","Round-robin (core)|buffers (core)|workflows (core)|reminders (core)","Freemium + Subscription","https://calendly.com","Scheduling automation tool that reduces back-and-forth and improves booking rates.","meeting scheduling|booking links|calendar automation","Calendly logo","true"
"0d541fe3-eddb-4f0a-a1f7-905f2c620a94","Feathery","feathery","Developer-grade forms without heavy code","Sales & Client Onboarding","Mortgage|Asset|Commercial","Smart Form Builders|System Integrations & APIs|Data Sync & Webhooks|Lead Capture & Nurture","Advanced embedded forms with logic and APIs","Conditional logic (core)|APIs (core)","Subscription","https://feathery.io","Flexible form builder for complex onboarding and data capture.","advanced forms|embedded forms|form APIs","Feathery logo","true"
"517641be-f252-4964-84df-a3f732c2c65a","Tally","tally-so","Notion-style forms in minutes","Sales & Client Onboarding","Mortgage|Asset|Commercial","Smart Form Builders|Lead Capture & Nurture|Funnels & Landing Pages","Minimalist form builder with generous free tier","Unlimited forms (core)|logic (core)","Freemium + Subscription","https://tally.so","Simple, fast form builder for lead capture and surveys.","notion forms|simple forms|online surveys","Tally logo","true"
"4b6d7c7f-51ee-48fa-ad55-41214a61e9f4","1Password","1password","Protect your digital life","Password Management","Mortgage|Asset|Commercial","Identity & Access Management (IAM)|Security & Encryption|Privacy & Data Security","Secure password manager for teams and individuals.","Vaults (core)|2FA (core)|secrets (core)","Subscription","https://1password.com","","","1Password logo","true"
"13c9d016-4838-487e-988c-579f7087e92c","Whisper.AI","whisper-ai","Transcribe in any language","Meeting Transcription","Mortgage|Asset|Commercial","Video & Podcast Production|Internal Knowledge Bases|Focus & Productivity","AI-powered call transcription and analysis platform.","AI transcription (core)|summaries (core)|CRM sync (core)","Subscription","https://whisperai.com","","","Whisper AI logo","true"
"bb3eba99-f96a-42ae-8186-9339e418b0de","AnswerThePublic","answer-the-public","See what people are searching","Marketing Software","Mortgage|Asset|Commercial","SEO|Content Marketing|Thought Leadership","Search insight tool for content and keyword discovery.","Search mining (core)|visualisation (core)|exports (core)","Freemium + Subscription","https://answerthepublic.com","","","AnswerThePublic logo","true"
"7fe4e8bc-d57c-4f2d-b724-740fdbfe1302","AppSumo","appsumo","Lifetime software deals for entrepreneurs","Other","Mortgage|Asset|Commercial","Operations, AI & Workflow|Marketing & Lead Generation","Marketplace offering discounted lifetime deals on early-stage SaaS tools across marketing, automation and analytics","Lifetime deals (core)|vendor reviews (core)|SaaS sourcing (core)","Pay-as-you-go","https://appsumo.com","Marketplace for discovering discounted lifetime software deals across marketing, automation and operations tools.","lifetime software deals|SaaS marketplace|growth tools","AppSumo logo","true"
"d1d0d222-8494-4ba6-8917-4bbde254c4f1","Kaddim","kaddim","Document & info collection made easy","Operations, AI & Workflow","Mortgage","Document Collection & Verification|Workflow Design|Process Automation|In-App Notifications","Secure client document and information collection platform with reminders and collaboration","Smart reminders (core)|file requests (core)|collaboration (core)","Subscription","https://kaddim.com","Client document collection platform that reduces follow-ups using structured requests and automated reminders.","document collection software|client info gathering|broker workflows","Kaddim logo","true"
"62e63cb0-5eb4-476e-b552-c6424d96d388","GoDaddy","godaddy","Domains, websites & more","Technology & Systems","Mortgage|Asset|Commercial","Cloud Infrastructure & Hosting|Lead Capture & Nurture|Data Residency & Hosting Region","Global domain registrar and hosting provider","Domains (core)|hosting (core)|site builder (core)|email (core)","Subscription","https://www.godaddy.com","All-in-one provider for domains, hosting and basic websites.","domain registrar|web hosting|website builder","GoDaddy logo","true"
"e27947ed-767b-42c9-aabe-2a6be0ffc512","Plausible","plausible","Privacy-friendly analytics","Operations, AI & Workflow","Mortgage|Asset|Commercial","Data, Analytics & Reporting|Reporting & Dashboards|Lead Attribution & Source Tracking","Cookieless analytics focused on privacy","Simple dashboards (core)|goals (core)","Subscription","https://plausible.io","Lightweight privacy-first analytics alternative to GA.","privacy analytics|cookieless analytics|website metrics","Plausible logo","true"
"667dc496-d97e-414f-be40-06acfd4f2fb1","Krisp.AI","krisp-ai","Noise cancelling for calls","Audio Utility","Mortgage|Asset|Commercial","VoIP & Communications|Focus & Productivity|Burnout & Nervous System Regulation","AI-based background noise removal and echo cancellation for calls.","Noise removal (core)|echo cancellation (core)|call metrics (core)","Freemium + Subscription","https://krisp.ai","AI noise cancellation to improve call clarity and focus.","noise cancellation|call audio ai|meeting audio","Krisp AI logo","true"
"24664ac9-d471-440f-b73a-b331dbf3c049","Zoom","zoom","Modern video communications","Video & Webinars","Mortgage|Asset|Commercial","VoIP & Communications|Video & Podcast Production|Media Training","Video meeting and webinar platform for teams and businesses.","HD meetings (core)|webinars (core)|breakout rooms (core)","Freemium + Subscription","https://zoom.us","","","Zoom logo","true"
"da73344c-9c94-4e04-88e1-7cf62f3da15f","Google Meet","google-meet","Secure video meetings for teams","Video & Meetings","Mortgage|Asset|Commercial","VoIP & Communications|Messaging App Sync|Video & Podcast Production","Video meetings built into Google Workspace.","Video calls (core)|captions (core)|recordings (core)","Free","https://meet.google.com","","","Google Meet logo","true"
"01aa0c39-550a-4c42-8e80-af259e904336","SalesTrekker","salestrekker","End-to-end broker CRM & LOS","Sales & Client Onboarding","Mortgage|Asset|Commercial","CRM Design & Architecture|Deal & Lead Management|Loan Processing Systems|Compliance Management (AFSL / Credit Licence)|Document Collection & Verification","Loan origination and CRM platform widely used by mortgage and finance brokers","Pipelines (core)|compliance (core)|document tracking (core)|client portal (core)","Subscription","https://salestrekker.com","Full-featured CRM and loan origination system used by brokers to manage deals, compliance and client workflows.","loan origination system|broker CRM|mortgage LOS","SalesTrekker logo","true"
"58b6abcf-78be-41af-90d0-7af231fb3756","Outscraper","outscraper","Location & maps data at scale","Marketing & Lead Generation","Mortgage|Asset|Commercial","Process Automation|Lead Capture & Nurture|Data, Analytics & Reporting","Scraping-as-a-service for Google Maps and SERP data","Map scraping (core)|reviews (core)|SERP data (core)","Pay-as-you-go","https://outscraper.com","Data scraping service for extracting local business and SERP data at scale.","lead scraping|maps data|location intelligence","Outscraper logo","true"
"0a5522fb-a9a2-49e9-a529-1d15df3b589c","Sortd","sortd","Gmail-centric sales workspace","Operations, AI & Workflow","Mortgage|Asset|Commercial","Team Task Management|Smart Task Automation|Deal & Lead Management","Turn Gmail into a task and sales workspace with boards and pipelines","Kanban boards (core)|reminders (core)|pipelines (core)","Subscription","https://sortd.com","Gmail workspace for managing sales pipelines and tasks directly from email.","gmail CRM|email-based task management","Sortd logo","true"
